O,D,trips
3,7424,29.7814281953281
3,7455,31.1842020578576
3,7503,45.1752565587125
3,7548,23.9997578108314
3,7635,38.3167729611293
3,7646,18.5361842095759
3,7748,76.0585599408589
3,7786,48.4163223116296
3,7829,37.9639881516558
3,8023,22.493357111737
5,1637,52.1981827939457
5,1646,56.8104210989827
6,1661,300.065591851339
18,4008,213.933309761301
18,4675,64.1541715552616
18,8367,84.7404320997793
19,2290,142.04607994051
19,2309,179.0020286251554
22,6527,23.1933186149269
22,6538,107.999158984008
22,6583,19.4574363614945
22,6767,41.9574610857871
22,6828,21.3700950643711
23,237,120.29377227500942
27,4452,180.177226174643
237,23,80.9170568878482
1271,4,54.2286896211791
1646,5,56.8104210989827
1661,6,300.065591851339
2290,19,142.04607994051
2309,19,179.0020286251554
3286,13,425.0
3293,13,522.493883433282
3757,22,152.759291615625
4008,18,213.933309761301
4119,27,123.991395255771
4452,27,180.177226174643
5891,3,67.6399788861778
6527,22,23.1933186149269
6538,22,107.999158984008
6583,22,19.4574363614945
6727,22,70.9694222734984
6728,21,42.1471796502135
6767,22,41.9574610857871
6819,20,22.3992127351843
7455,3,31.1842020578576
7503,3,45.1752565587125
7548,3,23.9997578108314
7635,3,38.3167729611293
7646,3,18.5361842095759
7662,27,26.6743581297745
7675,3,54.9566691774565
7705,3,30.4554501584347
7760,3,41.310066105932
7761,3,34.2984598239344
7786,3,48.4163223116296
7829,3,37.9639881516558
7854,3,47.30260825711
8023,3,22.493357111737
8328,18,220.07737689347
8367,18,84.7404320997793
8535,3,63.4302165047931
