P,A,trips
163,23,144.5408316200104
332,24,111.3116284082964
1133,11,55.9842356641679
1164,12,121.548928206547
1196,12,198.572053711016
1207,12,207.30633587459
1282,4,37.3265619378086
1630,5,134.3628099065174
1695,6,182.153683420644
3083,27,151.553474364647
3116,3,293.2239627841396
3658,22,61.5814682345988
3660,22,96.8619140619366
3662,24,214.6668010250745
3853,22,338.254763955774
3911,27,227.091116657113
3961,22,74.814183247135
3980,3,105.270124138204
4082,3,561.899403838506
4083,24,89.6346394677258
4129,18,88.0041021729343
4192,18,83.64718123482
4265,27,559.689333530232
4315,27,108.827615175195
4435,23,112.047712087296
4486,23,481.150041922084
4493,18,423.864745227158
4493,23,827.640145721668
4612,5,334.3951432162248
4649,18,62.5167554401212
4672,24,76.450686950743
4849,12,117.7868218639848
4896,27,122.746920860868
4982,24,467.780654822704
5019,21,91.5710432585783
5019,27,110.578350085626
5054,5,88.0368808759511
5141,3,409.4703608537275
5321,10,104.387640679673
5321,18,484.37272727912693
5552,18,93.9823450357057
5583,3,459.0130805702639
5617,22,328.607252799273
5771,23,207.259407871182
6059,27,106.945934341949
6062,3,222.367963455228
6468,22,1198.8247899427404
6534,22,137.5099373051736
6579,23,34.326390380545
6712,22,81.4229100335062
6727,22,141.9388445469968
6831,21,38.6276753993248
6831,24,48.2476724359236
6864,23,304.9898637501736
6910,24,342.5498097949604
7015,24,73.5186952969672
7366,3,77.3955370323554
7387,3,101.177823840691
7401,3,103.5808932537836
7417,3,64.7777056378887
7417,24,438.29335476876906
7449,3,62.817009123645
7458,3,80.6636152902966
7475,3,46.2482118086276
7476,3,28.6028201767649
7492,12,24.8735999285083
7504,3,100.2010888085348
7510,3,111.6241921813176
7516,3,92.4964236172552
7521,3,95.9990312433256
7635,3,35.246461246979
7646,3,62.1115917536036
7658,3,34.2313107867286
7662,3,35.4520852939934
7702,12,32.3160430033546
7709,3,143.3895425084428
7728,3,85.6283688725762
7732,4,300.39556854384296
7761,3,34.2984598239344
7854,3,75.4825328399042
7910,3,37.3168329282933
7956,3,55.591084686635
8259,18,1226.24787898084
8281,18,195.3704862776456
8349,3,99.3409015947148
