O,D,trips
3,7404,34.3148178650156
18,4975,81.8940721707455
19,2290,244.461695865966
24,3605,63.4245587849799
2290,19,244.461695865966
3977,27,382.74832764103
4975,18,163.788144341491
5733,24,63.2482946729081
6746,22,38.4174707457013
7404,3,34.3148178650156
