O,D,trips
3,7435,24.1809576598714
18,5552,187.9646900714114
18,7305,33.8271619319466
1164,12,121.548928206547
1286,3,142.388511012085
7305,18,33.8271619319466
7435,3,24.1809576598714
7728,12,24.2217302510047
8003,3,46.9558670408342
