P,A,trips
3,48,72.796649982205
3,1258,61.2457850568901
3,3966,107.71162465764
3,4304,554.5768256448491
3,5306,871.0674918735239
3,7437,46.9558670408342
3,7481,98.609918782647
3,7510,247.55392066921
3,7575,77.3955370323554
3,7583,40.2051267611385
3,7603,63.2476276373109
3,7606,341.3228539967322
3,7666,27.7955423433175
3,7779,84.5477252131366
4,1277,124.9960828405982
4,7662,76.5972686596116
5,3477,82.8064270699397
5,4304,82.8100486704283
6,1662,47.4561473994896
10,1139,45.3922944056719
10,4304,96.1291764524986
12,2210,121.548928206547
12,7585,24.2217302510047
18,4304,1084.7098917642122
18,4675,64.1541715552616
18,5102,81.8940721707455
22,4145,357.21875042007
22,6681,148.2306595952103
22,6725,74.01142769647
22,6727,74.01142769647
22,8333,425.0
23,183,363.1231010587958
23,3652,54.6940919202102
23,4304,135.489004034567
24,4122,75.7798942316795
24,4304,191.3671668038998
24,5852,584.391139691692
27,4495,974.8267423465711
27,4585,223.375518848912
47,3,142.8773991797052
162,23,120.528798111691
183,23,58.1332373086222
805,12,117.7868218639848
1137,12,198.572053711016
1149,12,103.653167937295
1258,3,61.2457850568901
1264,3,255.261113751658
1634,5,210.358623587912
1662,6,47.4561473994896
2210,12,121.548928206547
4054,3,63.8134731226153
4119,24,116.804599471008
4178,5,82.8064270699397
4192,21,115.099499213704
4304,3,331.8867180403763
4304,5,576.292563244377
4304,10,94.764629085493
4304,18,2599.50120606002
4304,27,148.012457134245
4474,3,774.5382787302699
4487,27,110.578350085626
4491,24,127.213900572317
4585,27,223.375518848912
5240,3,221.470851213746
5263,24,75.7798942316795
5524,18,187.9646900714114
5552,18,187.9646900714114
5852,24,438.29335476876906
6745,21,38.6276753993248
6746,22,137.5099373051736
6758,22,109.813188849509
6871,24,53.9795339751594
7005,22,34.326390380545
7166,22,357.21875042007
7167,22,148.02285539294
7470,4,76.5972686596116
7510,3,247.55392066921
7567,3,91.9006321189666
7597,3,163.710024793052
7609,3,75.8246706163149
7685,3,85.6283688725762
7747,3,200.156197240126
7854,3,284.4357116639435
7880,3,56.8871423327887
7892,3,37.3168329282933
