;PrevNode,New_Node,Type
         1,         1,External
         2,         2,External
         3,         3,External
         4,         4,External
         5,         5,External
         6,         6,External
         7,         7,External
         8,         8,External
         9,         9,External
        10,        10,External
        11,        11,External
        12,        12,External
        13,        13,External
        14,        14,External
        15,        15,External
        16,        16,External
        17,        17,External
        18,        18,External
        19,        19,External
        20,        20,External
        21,        21,External
        22,        22,External
        23,        23,External
        24,        24,External
        25,        25,External
        26,        26,External
        27,        27,External
        31,        31,TAZ
        32,        32,TAZ
        33,        33,TAZ
        34,        34,TAZ
        35,        35,TAZ
        36,        36,TAZ
        37,        37,TAZ
        38,        38,TAZ
        39,        39,TAZ
        40,        40,TAZ
        41,        41,TAZ
        42,        42,TAZ
        43,        43,TAZ
        44,        44,TAZ
        45,        45,TAZ
        46,        46,TAZ
        47,        47,TAZ
        48,        48,TAZ
        49,        49,TAZ
        50,        50,TAZ
        51,        51,TAZ
        52,        52,TAZ
        53,        53,TAZ
        54,        54,TAZ
        55,        55,TAZ
        56,        56,TAZ
        57,        57,TAZ
        58,        58,TAZ
        59,        59,TAZ
        60,        60,TAZ
        61,        61,TAZ
        62,        62,TAZ
        63,        63,TAZ
        64,        64,TAZ
        65,        65,TAZ
        66,        66,TAZ
        67,        67,TAZ
        68,        68,TAZ
        69,        69,TAZ
        70,        70,TAZ
        71,        71,TAZ
        72,        72,TAZ
        73,        73,TAZ
        74,        74,TAZ
        75,        75,TAZ
        76,        76,TAZ
        77,        77,TAZ
        78,        78,TAZ
        79,        79,TAZ
        80,        80,TAZ
        81,        81,TAZ
        82,        82,TAZ
        83,        83,TAZ
        84,        84,TAZ
        85,        85,TAZ
        86,        86,TAZ
        87,        87,TAZ
        88,        88,TAZ
        89,        89,TAZ
        90,        90,TAZ
        91,        91,TAZ
        92,        92,TAZ
        93,        93,TAZ
        94,        94,TAZ
        95,        95,TAZ
        96,        96,TAZ
        97,        97,TAZ
        98,        98,TAZ
        99,        99,TAZ
       100,       100,TAZ
       101,       101,TAZ
       102,       102,TAZ
       103,       103,TAZ
       104,       104,TAZ
       105,       105,TAZ
       106,       106,TAZ
       107,       107,TAZ
       108,       108,TAZ
       109,       109,TAZ
       110,       110,TAZ
       111,       111,TAZ
       112,       112,TAZ
       113,       113,TAZ
       114,       114,TAZ
       115,       115,TAZ
       116,       116,TAZ
       117,       117,TAZ
       118,       118,TAZ
       119,       119,TAZ
       120,       120,TAZ
       121,       121,TAZ
       122,       122,TAZ
       123,       123,TAZ
       124,       124,TAZ
       125,       125,TAZ
       126,       126,TAZ
       127,       127,TAZ
       128,       128,TAZ
