;N,X,Y,EXTERNAL,JOINT_TYPE,JOINT_NODE,PrevNode
         1, 235145.8094700,4327706.4456000,         1,         0,         0,         1
         2, 230108.5411500,4179871.2951300,         1,         0,         0,         2
         3, 265434.5749800,4097123.2161600,         1,         0,         0,         3
         4, 322645.1573900,4095373.4086500,         1,         0,         0,         4
         5, 363749.4899500,4095062.9853000,         1,         0,         0,         5
         6, 449588.5582200,4094330.7116200,         1,         0,         0,         6
         7, 573129.7318000,4094138.6925500,         1,         0,         0,         7
         8, 624203.3933400,4094683.3490200,         1,         0,         0,         8
         9, 673979.1238000,4113377.3410400,         1,         0,         0,         9
        10, 673163.7575900,4186860.6393300,         1,         0,         0,        10
        11, 670440.1486200,4243796.2527600,         1,         0,         0,        11
        12, 669111.7806000,4339996.6151800,         1,         0,         0,        12
        13, 666291.0533500,4459138.7687800,         1,         0,         0,        13
        14, 632630.4075700,4540595.8978900,         1,         0,         0,        14
        15, 611655.0427200,4540329.5826300,         1,         0,         0,        15
        16, 597112.9286700,4539830.5885200,         1,         0,         0,        16
        17, 510953.7198100,4539473.9543500,         1,         0,         0,        17
        18, 496918.2249000,4566390.2281700,         1,         0,         0,        18
        19, 496567.2794000,4583953.6673100,         1,         0,         0,        19
        20, 496961.8125400,4625458.5627500,         1,         0,         0,        20
        21, 466377.1709400,4650803.3480800,         1,         0,         0,        21
        22, 432736.1581900,4651662.0186000,         1,         0,         0,        22
        23, 400484.9018500,4651540.7284800,         1,         0,         0,        23
        24, 347675.0316200,4652154.4604800,         1,         0,         0,        24
        25, 318013.2697500,4652635.8645900,         1,         0,         0,        25
        26, 244911.0401400,4583431.2944900,         1,         0,         0,        26
        27, 242061.8825100,4514159.3473100,         1,         0,         0,        27
     11658, 417421.6958800,4594647.5671700,         0,         1,         0,     11658
     11667, 408515.9933100,4599941.4703300,         0,         1,         0,     11667
     11670, 406555.0586300,4593977.0153000,         0,         1,         0,     11670
     11677, 410103.5527400,4605735.3922800,         0,         1,         0,     11677
     11680, 410187.9779900,4605752.2773300,         0,         1,         0,     11680
     12406, 496155.8222800,4566340.3583000,         0,         4,         0,     12406
     13465, 511405.7364200,4538786.0669600,         0,         4,         0,     13465
     13580, 414788.2679300,4626026.9394200,         0,         2,         0,     13580
     13586, 276834.3054700,4166969.0811500,         0,         3,         0,     13586
     13591, 433693.9967800,4507344.9174000,         0,         1,         0,     13591
     13599, 409518.7739300,4605320.3004800,         0,         1,     82185,     13599
     13796, 411956.4961200,4606440.4768800,         0,         1,         0,     13796
     15023, 450630.9140600,4585176.6107100,         0,         2,         0,     15023
     15124, 488941.4086000,4561976.6435500,         0,         4,         0,     15124
     15126, 412943.6851300,4633773.6321600,         0,         2,         0,     15126
     15128, 428002.5122100,4582992.9416200,         0,         2,         0,     15128
     15129, 432677.9489300,4650295.0319400,         0,         2,         0,     15129
     15130, 266289.7949900,4097632.4712600,         0,         3,         0,     15130
     15131, 322308.4908300,4096226.0973600,         0,         3,         0,     15131
     15133, 320856.0691800,4152784.9475300,         0,         3,         0,     15133
     15134, 282289.5706000,4159241.7277000,         0,         3,         0,     15134
     15136, 265263.6839400,4166140.6043700,         0,         3,         0,     15136
     15140, 432854.7217600,4511633.6082300,         0,         1,         0,     15140
     15141, 433630.6896600,4507395.6635800,         0,         1,         0,     15141
     15151, 421777.0926400,4574520.9655800,         0,         1,         0,     15151
     15152, 430682.6382200,4421301.9665300,         0,         1,         0,     15152
     15153, 399764.7207500,4454092.1137600,         0,         1,         0,     15153
     15159, 405768.9290000,4549857.0801600,         0,         1,         0,     15159
     15690, 450814.2710800,4435682.0838500,         0,         1,         0,     15690
     15691, 434292.6607100,4504691.0770800,         0,         1,         0,     15691
     15692, 424765.0394600,4554361.0293200,         0,         1,         0,     15692
     15694, 396158.6234600,4508511.0841600,         0,         1,         0,     15694
     15695, 396137.3747100,4508541.8210200,         0,         1,         0,     15695
     15699, 405704.6614700,4423746.0466500,         0,         1,         0,     15699
