;PrevNode,New_Node,Type
     10018,     80085,Highway
     10019,     80086,Highway
     10020,     80087,Highway
     10021,     80088,Highway
     10022,     80089,Highway
     10023,     80090,Highway
     10024,     80091,Highway
     10025,     80092,Highway
     10026,     80093,Highway
     10027,     80094,Highway
     10028,     80095,Highway
     10029,     80096,Highway
     10030,     80097,Highway
     10031,     80098,Highway
     10032,     80099,Highway
     10033,     80100,Highway
     10034,     80101,Highway
     10035,     80102,Highway
     10036,     80103,Highway
     10038,     80104,Highway
     10039,     80105,Highway
     10040,     80106,Highway
     10041,     80107,Highway
     10042,     80108,Highway
     10043,     80109,Highway
     10044,     80110,Highway
     10045,     80111,Highway
     10046,     80112,Highway
     10047,     80113,Highway
     10048,     80114,Highway
     10049,     80115,Highway
     10050,     80116,Highway
     10051,     80117,Highway
     10052,     80118,Highway
     10053,     80119,Highway
     10054,     80120,Highway
     10055,     80121,Highway
     10056,     80122,Highway
     10057,     80123,Highway
     10058,     80124,Highway
     10059,     80125,Highway
     10060,     80126,Highway
     10061,     80127,Highway
     10062,     80128,Highway
     10065,     80129,Highway
     10066,     80130,Highway
     10067,     80131,Highway
     10068,     80132,Highway
     10069,     80133,Highway
     10070,     80134,Highway
     10071,     80135,Highway
     10072,     80136,Highway
     10073,     80137,Highway
     10074,     80138,Highway
     10075,     80139,Highway
     10076,     80140,Highway
     10077,     80141,Highway
     10078,     80142,Highway
     10079,     80143,Highway
     10080,     80144,Highway
     10081,     80145,Highway
     10082,     80146,Highway
     10083,     80147,Highway
     10084,     80148,Highway
     10085,     80149,Highway
     10086,     80150,Highway
     10087,     80151,Highway
     10088,     80152,Highway
     10089,     80153,Highway
     10090,     80154,Highway
     10091,     80155,Highway
     10092,     80156,Highway
     10116,     80157,Highway
     10119,     80158,Highway
     10152,     80159,Highway
     10153,     80160,Highway
     10154,     80161,Highway
     10155,     80162,Highway
     10156,     80163,Highway
     10157,     80164,Highway
     10159,     80165,Highway
     10163,     80166,Highway
     10177,     80167,Highway
     10178,     80168,Highway
     10179,     80169,Highway
     10180,     80170,Highway
     10181,     80171,Highway
     10182,     80172,Highway
     10183,     80173,Highway
     10184,     80174,Highway
     10185,     80175,Highway
     10186,     80176,Highway
     10187,     80177,Highway
     10188,     80178,Highway
     10189,     80179,Highway
     10190,     80180,Highway
     10191,     80181,Highway
     10192,     80182,Highway
     10193,     80183,Highway
     10194,     80184,Highway
     10195,     80185,Highway
     10196,     80186,Highway
     10197,     80187,Highway
     10198,     80188,Highway
     10199,     80189,Highway
     10200,     80190,Highway
     10201,     80191,Highway
     10202,     80192,Highway
     10203,     80193,Highway
     10204,     80194,Highway
     10205,     80195,Highway
     10206,     80196,Highway
     10207,     80197,Highway
     10208,     80198,Highway
     10209,     80199,Highway
     10210,     80200,Highway
     10211,     80201,Highway
     10212,     80202,Highway
     10771,     80203,Highway
     10885,     80204,Highway
     10889,     80205,Highway
     10890,     80206,Highway
     10891,     80207,Highway
     10910,     80208,Highway
     10911,     80209,Highway
     10917,     80210,Highway
     10918,     80211,Highway
     10925,     80212,Highway
     10926,     80213,Highway
     10965,     80214,Highway
     10969,     80215,Highway
     10972,     80216,Highway
     10976,     80217,Highway
     10982,     80218,Highway
     11036,     80219,Highway
     11037,     80220,Highway
     11038,     80221,Highway
     11039,     80222,Highway
     11040,     80223,Highway
     11041,     80224,Highway
     11042,     80225,Highway
     11043,     80226,Highway
     11044,     80227,Highway
     11045,     80228,Highway
     11046,     80229,Highway
     11047,     80230,Highway
     11048,     80231,Highway
     11049,     80232,Highway
     11050,     80233,Highway
     11051,     80234,Highway
     11052,     80235,Highway
     11053,     80236,Highway
     11054,     80237,Highway
     11055,     80238,Highway
     11056,     80239,Highway
     11057,     80240,Highway
     11058,     80241,Highway
     11059,     80242,Highway
     11060,     80243,Highway
     11061,     80244,Highway
     11062,     80245,Highway
     11063,     80246,Highway
     11064,     80247,Highway
     11065,     80248,Highway
     11066,     80249,Highway
     11067,     80250,Highway
     11068,     80251,Highway
     11069,     80252,Highway
     11070,     80253,Highway
     11071,     80254,Highway
     11072,     80255,Highway
     11073,     80256,Highway
     11074,     80257,Highway
     11075,     80258,Highway
