Highwway Network Node Schemes,
,
New Statewide Node Scheme,
External Range,         ?,
First TAZ,        31,
Max TAZ,      8961,
 ,TAZ Low,TAZ High,Hwy Low,Hwy High,
USTM Nodes,        31,      8775,     10000,     36886,
NAT Nodes,      8776,      8961,     80000,    213498,
,
,
Previous Network Node Schemes,
 ,Max Int TAZ,Max Ext,UsedZones,TAZ Count,Ext Count,Hwy Count,Total Count,
USTM,      8775,        27,      8775,      8745,        27,     26886,     35658,
NAT,       215,       284,       284,       186,        28,    133498,    133753,
,

