ODPair,I,J,NumExt
31_8964,     31.00,   8964.00,      3.00
32_8964,     32.00,   8964.00,      3.00
33_8964,     33.00,   8964.00,      3.00
34_8964,     34.00,   8964.00,      3.00
35_8964,     35.00,   8964.00,      3.00
36_8964,     36.00,   8964.00,      3.00
37_8964,     37.00,   8964.00,      3.00
38_8964,     38.00,   8964.00,      3.00
39_8964,     39.00,   8964.00,      3.00
40_8964,     40.00,   8964.00,      3.00
41_8964,     41.00,   8964.00,      3.00
42_8964,     42.00,   8964.00,      3.00
43_8964,     43.00,   8964.00,      3.00
44_8964,     44.00,   8964.00,      3.00
45_8964,     45.00,   8964.00,      3.00
46_8964,     46.00,   8964.00,      3.00
47_8964,     47.00,   8964.00,      3.00
48_8964,     48.00,   8964.00,      3.00
49_8964,     49.00,   8964.00,      3.00
50_8964,     50.00,   8964.00,      3.00
51_8964,     51.00,   8964.00,      3.00
52_8964,     52.00,   8964.00,      3.00
53_8964,     53.00,   8964.00,      3.00
54_8964,     54.00,   8964.00,      3.00
55_8964,     55.00,   8964.00,      3.00
56_8964,     56.00,   8964.00,      3.00
57_8964,     57.00,   8964.00,      3.00
58_8964,     58.00,   8964.00,      3.00
59_8964,     59.00,   8964.00,      3.00
60_8964,     60.00,   8964.00,      3.00
61_8964,     61.00,   8964.00,      3.00
62_8964,     62.00,   8964.00,      3.00
63_8964,     63.00,   8964.00,      3.00
64_8964,     64.00,   8964.00,      3.00
65_8964,     65.00,   8964.00,      3.00
66_8964,     66.00,   8964.00,      3.00
67_8964,     67.00,   8964.00,      3.00
68_8964,     68.00,   8964.00,      3.00
69_8964,     69.00,   8964.00,      3.00
70_8964,     70.00,   8964.00,      3.00
71_8964,     71.00,   8964.00,      3.00
72_8964,     72.00,   8964.00,      3.00
73_8964,     73.00,   8964.00,      3.00
74_8964,     74.00,   8964.00,      3.00
75_8964,     75.00,   8964.00,      3.00
76_8964,     76.00,   8964.00,      3.00
77_8964,     77.00,   8964.00,      3.00
78_8964,     78.00,   8964.00,      3.00
79_8964,     79.00,   8964.00,      3.00
80_8964,     80.00,   8964.00,      3.00
81_8964,     81.00,   8964.00,      3.00
82_8964,     82.00,   8964.00,      3.00
83_8964,     83.00,   8964.00,      3.00
84_8964,     84.00,   8964.00,      3.00
85_8964,     85.00,   8964.00,      3.00
86_8964,     86.00,   8964.00,      3.00
87_8964,     87.00,   8964.00,      3.00
88_8964,     88.00,   8964.00,      3.00
89_8964,     89.00,   8964.00,      3.00
90_8964,     90.00,   8964.00,      3.00
91_8964,     91.00,   8964.00,      3.00
92_8964,     92.00,   8964.00,      3.00
93_8964,     93.00,   8964.00,      3.00
94_8964,     94.00,   8964.00,      3.00
95_8964,     95.00,   8964.00,      3.00
96_8964,     96.00,   8964.00,      3.00
97_8964,     97.00,   8964.00,      3.00
98_8964,     98.00,   8964.00,      3.00
99_8964,     99.00,   8964.00,      3.00
100_8964,    100.00,   8964.00,      3.00
101_8964,    101.00,   8964.00,      3.00
102_8964,    102.00,   8964.00,      3.00
103_8964,    103.00,   8964.00,      3.00
104_8964,    104.00,   8964.00,      3.00
105_8964,    105.00,   8964.00,      3.00
106_8964,    106.00,   8964.00,      3.00
107_8964,    107.00,   8964.00,      3.00
108_8964,    108.00,   8964.00,      3.00
109_8964,    109.00,   8964.00,      3.00
110_8964,    110.00,   8964.00,      3.00
111_8964,    111.00,   8964.00,      3.00
112_8964,    112.00,   8964.00,      3.00
113_8964,    113.00,   8964.00,      3.00
114_8964,    114.00,   8964.00,      3.00
115_8964,    115.00,   8964.00,      3.00
116_8964,    116.00,   8964.00,      3.00
117_8964,    117.00,   8964.00,      3.00
118_8964,    118.00,   8964.00,      3.00
119_8964,    119.00,   8964.00,      3.00
120_8964,    120.00,   8964.00,      3.00
121_8964,    121.00,   8964.00,      3.00
122_8964,    122.00,   8964.00,      3.00
123_8964,    123.00,   8964.00,      3.00
124_8964,    124.00,   8964.00,      3.00
125_8964,    125.00,   8964.00,      3.00
126_8964,    126.00,   8964.00,      3.00
127_8964,    127.00,   8964.00,      3.00
128_8964,    128.00,   8964.00,      3.00
129_8964,    129.00,   8964.00,      3.00
130_8964,    130.00,   8964.00,      3.00
131_8964,    131.00,   8964.00,      3.00
132_8964,    132.00,   8964.00,      3.00
133_8964,    133.00,   8964.00,      3.00
134_8964,    134.00,   8964.00,      3.00
135_8964,    135.00,   8964.00,      3.00
136_8964,    136.00,   8964.00,      3.00
137_8964,    137.00,   8964.00,      3.00
138_8964,    138.00,   8964.00,      3.00
139_8964,    139.00,   8964.00,      3.00
140_8964,    140.00,   8964.00,      3.00
141_8964,    141.00,   8964.00,      3.00
142_8964,    142.00,   8964.00,      3.00
143_8964,    143.00,   8964.00,      3.00
