ODPair,I,J,NumExt
144_8964,    144.00,   8964.00,      3.00
145_8964,    145.00,   8964.00,      3.00
146_8964,    146.00,   8964.00,      3.00
147_8964,    147.00,   8964.00,      3.00
148_8964,    148.00,   8964.00,      3.00
249_8901,    249.00,   8901.00,      3.00
249_8903,    249.00,   8903.00,      3.00
249_8904,    249.00,   8904.00,      3.00
249_8905,    249.00,   8905.00,      3.00
249_8907,    249.00,   8907.00,      3.00
249_8908,    249.00,   8908.00,      3.00
249_8909,    249.00,   8909.00,      3.00
249_8910,    249.00,   8910.00,      3.00
249_8911,    249.00,   8911.00,      3.00
249_8912,    249.00,   8912.00,      3.00
249_8913,    249.00,   8913.00,      3.00
249_8914,    249.00,   8914.00,      3.00
249_8927,    249.00,   8927.00,      3.00
249_8928,    249.00,   8928.00,      3.00
249_8929,    249.00,   8929.00,      3.00
249_8930,    249.00,   8930.00,      3.00
249_8931,    249.00,   8931.00,      3.00
249_8932,    249.00,   8932.00,      3.00
249_8933,    249.00,   8933.00,      3.00
249_8934,    249.00,   8934.00,      3.00
249_8935,    249.00,   8935.00,      3.00
249_8947,    249.00,   8947.00,      3.00
249_8948,    249.00,   8948.00,      3.00
249_8949,    249.00,   8949.00,      3.00
249_8952,    249.00,   8952.00,      3.00
249_8958,    249.00,   8958.00,      3.00
249_8959,    249.00,   8959.00,      3.00
249_8962,    249.00,   8962.00,      3.00
249_8963,    249.00,   8963.00,      3.00
249_8968,    249.00,   8968.00,      3.00
249_8969,    249.00,   8969.00,      3.00
249_8970,    249.00,   8970.00,      3.00
249_8971,    249.00,   8971.00,      3.00
249_8972,    249.00,   8972.00,      3.00
249_8975,    249.00,   8975.00,      3.00
271_8901,    271.00,   8901.00,      3.00
271_8903,    271.00,   8903.00,      3.00
271_8904,    271.00,   8904.00,      3.00
271_8905,    271.00,   8905.00,      3.00
271_8907,    271.00,   8907.00,      3.00
271_8908,    271.00,   8908.00,      3.00
271_8909,    271.00,   8909.00,      3.00
271_8910,    271.00,   8910.00,      3.00
271_8911,    271.00,   8911.00,      3.00
271_8912,    271.00,   8912.00,      3.00
271_8913,    271.00,   8913.00,      3.00
271_8914,    271.00,   8914.00,      3.00
271_8927,    271.00,   8927.00,      3.00
271_8928,    271.00,   8928.00,      3.00
271_8929,    271.00,   8929.00,      3.00
271_8930,    271.00,   8930.00,      3.00
271_8931,    271.00,   8931.00,      3.00
271_8932,    271.00,   8932.00,      3.00
271_8933,    271.00,   8933.00,      3.00
271_8934,    271.00,   8934.00,      3.00
271_8935,    271.00,   8935.00,      3.00
271_8947,    271.00,   8947.00,      3.00
271_8948,    271.00,   8948.00,      3.00
271_8949,    271.00,   8949.00,      3.00
271_8952,    271.00,   8952.00,      3.00
271_8958,    271.00,   8958.00,      3.00
271_8959,    271.00,   8959.00,      3.00
271_8962,    271.00,   8962.00,      3.00
271_8963,    271.00,   8963.00,      3.00
271_8968,    271.00,   8968.00,      3.00
271_8969,    271.00,   8969.00,      3.00
271_8970,    271.00,   8970.00,      3.00
271_8971,    271.00,   8971.00,      3.00
271_8972,    271.00,   8972.00,      3.00
271_8975,    271.00,   8975.00,      3.00
368_8901,    368.00,   8901.00,      3.00
368_8903,    368.00,   8903.00,      3.00
368_8904,    368.00,   8904.00,      3.00
368_8905,    368.00,   8905.00,      3.00
368_8907,    368.00,   8907.00,      3.00
368_8908,    368.00,   8908.00,      3.00
368_8909,    368.00,   8909.00,      3.00
368_8910,    368.00,   8910.00,      3.00
368_8911,    368.00,   8911.00,      3.00
368_8912,    368.00,   8912.00,      3.00
368_8913,    368.00,   8913.00,      3.00
368_8914,    368.00,   8914.00,      3.00
368_8927,    368.00,   8927.00,      3.00
368_8928,    368.00,   8928.00,      3.00
368_8929,    368.00,   8929.00,      3.00
368_8930,    368.00,   8930.00,      3.00
368_8931,    368.00,   8931.00,      3.00
368_8932,    368.00,   8932.00,      3.00
368_8933,    368.00,   8933.00,      3.00
368_8934,    368.00,   8934.00,      3.00
368_8935,    368.00,   8935.00,      3.00
368_8947,    368.00,   8947.00,      3.00
368_8948,    368.00,   8948.00,      3.00
368_8949,    368.00,   8949.00,      3.00
368_8951,    368.00,   8951.00,      3.00
368_8952,    368.00,   8952.00,      3.00
368_8958,    368.00,   8958.00,      3.00
368_8959,    368.00,   8959.00,      3.00
368_8962,    368.00,   8962.00,      3.00
368_8963,    368.00,   8963.00,      3.00
368_8968,    368.00,   8968.00,      3.00
368_8969,    368.00,   8969.00,      3.00
368_8970,    368.00,   8970.00,      3.00
368_8971,    368.00,   8971.00,      3.00
368_8972,    368.00,   8972.00,      3.00
368_8975,    368.00,   8975.00,      3.00
451_8964,    451.00,   8964.00,      3.00
452_8964,    452.00,   8964.00,      3.00
453_8964,    453.00,   8964.00,      3.00
454_8964,    454.00,   8964.00,      3.00
455_8964,    455.00,   8964.00,      3.00
456_8964,    456.00,   8964.00,      3.00
457_8964,    457.00,   8964.00,      3.00
458_8964,    458.00,   8964.00,      3.00
459_8964,    459.00,   8964.00,      3.00
460_8964,    460.00,   8964.00,      3.00
461_8964,    461.00,   8964.00,      3.00
462_8964,    462.00,   8964.00,      3.00
463_8964,    463.00,   8964.00,      3.00
464_8964,    464.00,   8964.00,      3.00
465_8964,    465.00,   8964.00,      3.00
466_8964,    466.00,   8964.00,      3.00
467_8964,    467.00,   8964.00,      3.00
468_8964,    468.00,   8964.00,      3.00
469_8964,    469.00,   8964.00,      3.00
470_8964,    470.00,   8964.00,      3.00
471_8964,    471.00,   8964.00,      3.00
472_8964,    472.00,   8964.00,      3.00
473_8964,    473.00,   8964.00,      3.00
474_8964,    474.00,   8964.00,      3.00
475_8964,    475.00,   8964.00,      3.00
476_8964,    476.00,   8964.00,      3.00
477_8964,    477.00,   8964.00,      3.00
478_8964,    478.00,   8964.00,      3.00
479_8964,    479.00,   8964.00,      3.00
480_8964,    480.00,   8964.00,      3.00
481_8964,    481.00,   8964.00,      3.00
482_8964,    482.00,   8964.00,      3.00
483_8964,    483.00,   8964.00,      3.00
484_8964,    484.00,   8964.00,      3.00
485_8964,    485.00,   8964.00,      3.00
486_8964,    486.00,   8964.00,      3.00
487_8964,    487.00,   8964.00,      3.00
488_8964,    488.00,   8964.00,      3.00
489_8964,    489.00,   8964.00,      3.00
490_8964,    490.00,   8964.00,      3.00
491_8964,    491.00,   8964.00,      3.00
492_8964,    492.00,   8964.00,      3.00
493_8964,    493.00,   8964.00,      3.00
494_8964,    494.00,   8964.00,      3.00
495_8964,    495.00,   8964.00,      3.00
496_8964,    496.00,   8964.00,      3.00
497_8964,    497.00,   8964.00,      3.00
498_8964,    498.00,   8964.00,      3.00
499_8964,    499.00,   8964.00,      3.00
500_8964,    500.00,   8964.00,      3.00
501_8964,    501.00,   8964.00,      3.00
502_8964,    502.00,   8964.00,      3.00
503_8964,    503.00,   8964.00,      3.00
504_8964,    504.00,   8964.00,      3.00
505_8964,    505.00,   8964.00,      3.00
506_8964,    506.00,   8964.00,      3.00
507_8964,    507.00,   8964.00,      3.00
508_8964,    508.00,   8964.00,      3.00
509_8964,    509.00,   8964.00,      3.00
510_8964,    510.00,   8964.00,      3.00
511_8964,    511.00,   8964.00,      3.00
512_8964,    512.00,   8964.00,      3.00
513_8964,    513.00,   8964.00,      3.00
514_8964,    514.00,   8964.00,      3.00
515_8964,    515.00,   8964.00,      3.00
516_8964,    516.00,   8964.00,      3.00
517_8964,    517.00,   8964.00,      3.00
518_8964,    518.00,   8964.00,      3.00
519_8964,    519.00,   8964.00,      3.00
520_8964,    520.00,   8964.00,      3.00
521_8964,    521.00,   8964.00,      3.00
522_8964,    522.00,   8964.00,      3.00
523_8964,    523.00,   8964.00,      3.00
524_8964,    524.00,   8964.00,      3.00
525_8964,    525.00,   8964.00,      3.00
526_8964,    526.00,   8964.00,      3.00
527_8964,    527.00,   8964.00,      3.00
528_8964,    528.00,   8964.00,      3.00
529_8964,    529.00,   8964.00,      3.00
530_8964,    530.00,   8964.00,      3.00
531_8964,    531.00,   8964.00,      3.00
532_8964,    532.00,   8964.00,      3.00
533_8964,    533.00,   8964.00,      3.00
534_8964,    534.00,   8964.00,      3.00
535_8964,    535.00,   8964.00,      3.00
536_8964,    536.00,   8964.00,      3.00
537_8964,    537.00,   8964.00,      3.00
538_8964,    538.00,   8964.00,      3.00
539_8964,    539.00,   8964.00,      3.00
540_8964,    540.00,   8964.00,      3.00
541_8964,    541.00,   8964.00,      3.00
542_8964,    542.00,   8964.00,      3.00
543_8964,    543.00,   8964.00,      3.00
544_8964,    544.00,   8964.00,      3.00
545_8964,    545.00,   8964.00,      3.00
546_8964,    546.00,   8964.00,      3.00
547_8964,    547.00,   8964.00,      3.00
548_8964,    548.00,   8964.00,      3.00
549_8964,    549.00,   8964.00,      3.00
550_8964,    550.00,   8964.00,      3.00
551_8964,    551.00,   8964.00,      3.00
552_8964,    552.00,   8964.00,      3.00
553_8964,    553.00,   8964.00,      3.00
554_8964,    554.00,   8964.00,      3.00
555_8964,    555.00,   8964.00,      3.00
556_8964,    556.00,   8964.00,      3.00
557_8964,    557.00,   8964.00,      3.00
558_8964,    558.00,   8964.00,      3.00
559_8964,    559.00,   8964.00,      3.00
560_8964,    560.00,   8964.00,      3.00
561_8964,    561.00,   8964.00,      3.00
562_8964,    562.00,   8964.00,      3.00
563_8964,    563.00,   8964.00,      3.00
564_8964,    564.00,   8964.00,      3.00
565_8964,    565.00,   8964.00,      3.00
566_8964,    566.00,   8964.00,      3.00
567_8964,    567.00,   8964.00,      3.00
568_8964,    568.00,   8964.00,      3.00
569_8964,    569.00,   8964.00,      3.00
570_8964,    570.00,   8964.00,      3.00
571_8964,    571.00,   8964.00,      3.00
572_8964,    572.00,   8964.00,      3.00
573_8964,    573.00,   8964.00,      3.00
574_8964,    574.00,   8964.00,      3.00
575_8964,    575.00,   8964.00,      3.00
576_8964,    576.00,   8964.00,      3.00
577_8964,    577.00,   8964.00,      3.00
578_8964,    578.00,   8964.00,      3.00
579_8964,    579.00,   8964.00,      3.00
580_8964,    580.00,   8964.00,      3.00
581_8964,    581.00,   8964.00,      3.00
582_8964,    582.00,   8964.00,      3.00
583_8964,    583.00,   8964.00,      3.00
584_8964,    584.00,   8964.00,      3.00
585_8964,    585.00,   8964.00,      3.00
586_8964,    586.00,   8964.00,      3.00
587_8964,    587.00,   8964.00,      3.00
588_8964,    588.00,   8964.00,      3.00
589_8964,    589.00,   8964.00,      3.00
590_8964,    590.00,   8964.00,      3.00
591_8964,    591.00,   8964.00,      3.00
592_8964,    592.00,   8964.00,      3.00
593_8964,    593.00,   8964.00,      3.00
594_8964,    594.00,   8964.00,      3.00
595_8964,    595.00,   8964.00,      3.00
596_8964,    596.00,   8964.00,      3.00
597_8964,    597.00,   8964.00,      3.00
598_8964,    598.00,   8964.00,      3.00
599_8964,    599.00,   8964.00,      3.00
600_8964,    600.00,   8964.00,      3.00
601_8964,    601.00,   8964.00,      3.00
602_8964,    602.00,   8964.00,      3.00
603_8964,    603.00,   8964.00,      3.00
604_8964,    604.00,   8964.00,      3.00
605_8964,    605.00,   8964.00,      3.00
606_8920,    606.00,   8920.00,      3.00
606_8921,    606.00,   8921.00,      3.00
606_8922,    606.00,   8922.00,      3.00
606_8923,    606.00,   8923.00,      3.00
606_8924,    606.00,   8924.00,      3.00
606_8925,    606.00,   8925.00,      3.00
606_8926,    606.00,   8926.00,      3.00
606_8927,    606.00,   8927.00,      3.00
606_8928,    606.00,   8928.00,      3.00
606_8932,    606.00,   8932.00,      3.00
606_8933,    606.00,   8933.00,      3.00
606_8934,    606.00,   8934.00,      3.00
606_8935,    606.00,   8935.00,      3.00
606_8936,    606.00,   8936.00,      3.00
606_8937,    606.00,   8937.00,      3.00
606_8938,    606.00,   8938.00,      3.00
606_8939,    606.00,   8939.00,      3.00
606_8940,    606.00,   8940.00,      3.00
606_8941,    606.00,   8941.00,      3.00
606_8942,    606.00,   8942.00,      3.00
606_8943,    606.00,   8943.00,      3.00
606_8944,    606.00,   8944.00,      3.00
606_8945,    606.00,   8945.00,      3.00
606_8947,    606.00,   8947.00,      3.00
606_8948,    606.00,   8948.00,      3.00
606_8949,    606.00,   8949.00,      3.00
606_8950,    606.00,   8950.00,      3.00
606_8953,    606.00,   8953.00,      3.00
606_8954,    606.00,   8954.00,      3.00
606_8955,    606.00,   8955.00,      3.00
606_8956,    606.00,   8956.00,      3.00
606_8957,    606.00,   8957.00,      3.00
606_8958,    606.00,   8958.00,      3.00
606_8960,    606.00,   8960.00,      3.00
606_8961,    606.00,   8961.00,      3.00
606_8964,    606.00,   8964.00,      3.00
606_8966,    606.00,   8966.00,      3.00
606_8967,    606.00,   8967.00,      3.00
606_8968,    606.00,   8968.00,      3.00
606_8973,    606.00,   8973.00,      3.00
607_8920,    607.00,   8920.00,      3.00
607_8921,    607.00,   8921.00,      3.00
607_8922,    607.00,   8922.00,      3.00
607_8923,    607.00,   8923.00,      3.00
607_8924,    607.00,   8924.00,      3.00
607_8925,    607.00,   8925.00,      3.00
607_8926,    607.00,   8926.00,      3.00
607_8927,    607.00,   8927.00,      3.00
607_8928,    607.00,   8928.00,      3.00
607_8932,    607.00,   8932.00,      3.00
607_8933,    607.00,   8933.00,      3.00
607_8934,    607.00,   8934.00,      3.00
607_8935,    607.00,   8935.00,      3.00
607_8936,    607.00,   8936.00,      3.00
607_8937,    607.00,   8937.00,      3.00
607_8938,    607.00,   8938.00,      3.00
607_8939,    607.00,   8939.00,      3.00
607_8940,    607.00,   8940.00,      3.00
607_8941,    607.00,   8941.00,      3.00
607_8942,    607.00,   8942.00,      3.00
607_8943,    607.00,   8943.00,      3.00
607_8944,    607.00,   8944.00,      3.00
607_8945,    607.00,   8945.00,      3.00
607_8947,    607.00,   8947.00,      3.00
607_8948,    607.00,   8948.00,      3.00
607_8949,    607.00,   8949.00,      3.00
607_8950,    607.00,   8950.00,      3.00
607_8953,    607.00,   8953.00,      3.00
607_8954,    607.00,   8954.00,      3.00
607_8955,    607.00,   8955.00,      3.00
607_8956,    607.00,   8956.00,      3.00
607_8957,    607.00,   8957.00,      3.00
607_8958,    607.00,   8958.00,      3.00
607_8960,    607.00,   8960.00,      3.00
607_8961,    607.00,   8961.00,      3.00
607_8964,    607.00,   8964.00,      3.00
607_8966,    607.00,   8966.00,      3.00
607_8967,    607.00,   8967.00,      3.00
607_8968,    607.00,   8968.00,      3.00
607_8973,    607.00,   8973.00,      3.00
608_8920,    608.00,   8920.00,      3.00
608_8921,    608.00,   8921.00,      3.00
608_8922,    608.00,   8922.00,      3.00
608_8923,    608.00,   8923.00,      3.00
608_8924,    608.00,   8924.00,      3.00
608_8925,    608.00,   8925.00,      3.00
608_8926,    608.00,   8926.00,      3.00
608_8927,    608.00,   8927.00,      3.00
608_8928,    608.00,   8928.00,      3.00
608_8932,    608.00,   8932.00,      3.00
608_8933,    608.00,   8933.00,      3.00
608_8934,    608.00,   8934.00,      3.00
608_8935,    608.00,   8935.00,      3.00
608_8936,    608.00,   8936.00,      3.00
608_8937,    608.00,   8937.00,      3.00
608_8938,    608.00,   8938.00,      3.00
608_8939,    608.00,   8939.00,      3.00
608_8940,    608.00,   8940.00,      3.00
608_8941,    608.00,   8941.00,      3.00
608_8942,    608.00,   8942.00,      3.00
608_8943,    608.00,   8943.00,      3.00
608_8944,    608.00,   8944.00,      3.00
608_8945,    608.00,   8945.00,      3.00
608_8947,    608.00,   8947.00,      3.00
608_8948,    608.00,   8948.00,      3.00
608_8949,    608.00,   8949.00,      3.00
608_8950,    608.00,   8950.00,      3.00
608_8953,    608.00,   8953.00,      3.00
608_8954,    608.00,   8954.00,      3.00
608_8955,    608.00,   8955.00,      3.00
608_8956,    608.00,   8956.00,      3.00
608_8957,    608.00,   8957.00,      3.00
608_8958,    608.00,   8958.00,      3.00
608_8960,    608.00,   8960.00,      3.00
608_8961,    608.00,   8961.00,      3.00
608_8964,    608.00,   8964.00,      3.00
608_8966,    608.00,   8966.00,      3.00
608_8967,    608.00,   8967.00,      3.00
608_8968,    608.00,   8968.00,      3.00
608_8973,    608.00,   8973.00,      3.00
609_8920,    609.00,   8920.00,      3.00
609_8921,    609.00,   8921.00,      3.00
609_8922,    609.00,   8922.00,      3.00
609_8923,    609.00,   8923.00,      3.00
609_8924,    609.00,   8924.00,      3.00
609_8925,    609.00,   8925.00,      3.00
609_8926,    609.00,   8926.00,      3.00
609_8927,    609.00,   8927.00,      3.00
609_8934,    609.00,   8934.00,      3.00
609_8935,    609.00,   8935.00,      3.00
609_8936,    609.00,   8936.00,      3.00
609_8937,    609.00,   8937.00,      3.00
609_8938,    609.00,   8938.00,      3.00
609_8939,    609.00,   8939.00,      3.00
609_8940,    609.00,   8940.00,      3.00
609_8941,    609.00,   8941.00,      3.00
609_8942,    609.00,   8942.00,      3.00
609_8943,    609.00,   8943.00,      3.00
609_8944,    609.00,   8944.00,      3.00
609_8945,    609.00,   8945.00,      3.00
609_8949,    609.00,   8949.00,      3.00
609_8950,    609.00,   8950.00,      3.00
609_8953,    609.00,   8953.00,      3.00
609_8954,    609.00,   8954.00,      3.00
609_8955,    609.00,   8955.00,      3.00
609_8956,    609.00,   8956.00,      3.00
609_8957,    609.00,   8957.00,      3.00
609_8958,    609.00,   8958.00,      3.00
609_8960,    609.00,   8960.00,      3.00
609_8961,    609.00,   8961.00,      3.00
609_8964,    609.00,   8964.00,      3.00
609_8966,    609.00,   8966.00,      3.00
609_8967,    609.00,   8967.00,      3.00
609_8968,    609.00,   8968.00,      3.00
609_8973,    609.00,   8973.00,      3.00
610_8920,    610.00,   8920.00,      3.00
610_8921,    610.00,   8921.00,      3.00
610_8922,    610.00,   8922.00,      3.00
610_8923,    610.00,   8923.00,      3.00
610_8924,    610.00,   8924.00,      3.00
610_8925,    610.00,   8925.00,      3.00
610_8926,    610.00,   8926.00,      3.00
610_8927,    610.00,   8927.00,      3.00
610_8928,    610.00,   8928.00,      3.00
610_8932,    610.00,   8932.00,      3.00
610_8933,    610.00,   8933.00,      3.00
610_8934,    610.00,   8934.00,      3.00
610_8935,    610.00,   8935.00,      3.00
610_8936,    610.00,   8936.00,      3.00
610_8937,    610.00,   8937.00,      3.00
610_8938,    610.00,   8938.00,      3.00
610_8939,    610.00,   8939.00,      3.00
610_8940,    610.00,   8940.00,      3.00
610_8941,    610.00,   8941.00,      3.00
610_8942,    610.00,   8942.00,      3.00
610_8943,    610.00,   8943.00,      3.00
610_8944,    610.00,   8944.00,      3.00
610_8945,    610.00,   8945.00,      3.00
610_8947,    610.00,   8947.00,      3.00
610_8948,    610.00,   8948.00,      3.00
610_8949,    610.00,   8949.00,      3.00
610_8950,    610.00,   8950.00,      3.00
610_8953,    610.00,   8953.00,      3.00
610_8954,    610.00,   8954.00,      3.00
610_8955,    610.00,   8955.00,      3.00
610_8956,    610.00,   8956.00,      3.00
610_8957,    610.00,   8957.00,      3.00
610_8958,    610.00,   8958.00,      3.00
610_8960,    610.00,   8960.00,      3.00
610_8961,    610.00,   8961.00,      3.00
610_8964,    610.00,   8964.00,      3.00
610_8966,    610.00,   8966.00,      3.00
610_8967,    610.00,   8967.00,      3.00
610_8968,    610.00,   8968.00,      3.00
610_8973,    610.00,   8973.00,      3.00
611_8920,    611.00,   8920.00,      3.00
611_8921,    611.00,   8921.00,      3.00
611_8922,    611.00,   8922.00,      3.00
611_8923,    611.00,   8923.00,      3.00
611_8924,    611.00,   8924.00,      3.00
611_8925,    611.00,   8925.00,      3.00
611_8926,    611.00,   8926.00,      3.00
611_8937,    611.00,   8937.00,      3.00
611_8938,    611.00,   8938.00,      3.00
611_8939,    611.00,   8939.00,      3.00
611_8940,    611.00,   8940.00,      3.00
611_8941,    611.00,   8941.00,      3.00
611_8942,    611.00,   8942.00,      3.00
611_8943,    611.00,   8943.00,      3.00
611_8944,    611.00,   8944.00,      3.00
611_8945,    611.00,   8945.00,      3.00
611_8950,    611.00,   8950.00,      3.00
611_8953,    611.00,   8953.00,      3.00
611_8954,    611.00,   8954.00,      3.00
611_8955,    611.00,   8955.00,      3.00
611_8956,    611.00,   8956.00,      3.00
611_8957,    611.00,   8957.00,      3.00
611_8960,    611.00,   8960.00,      3.00
611_8961,    611.00,   8961.00,      3.00
611_8966,    611.00,   8966.00,      3.00
611_8967,    611.00,   8967.00,      3.00
612_8920,    612.00,   8920.00,      3.00
612_8921,    612.00,   8921.00,      3.00
612_8922,    612.00,   8922.00,      3.00
612_8923,    612.00,   8923.00,      3.00
612_8924,    612.00,   8924.00,      3.00
612_8925,    612.00,   8925.00,      3.00
612_8926,    612.00,   8926.00,      3.00
612_8937,    612.00,   8937.00,      3.00
612_8938,    612.00,   8938.00,      3.00
612_8939,    612.00,   8939.00,      3.00
612_8940,    612.00,   8940.00,      3.00
612_8941,    612.00,   8941.00,      3.00
612_8942,    612.00,   8942.00,      3.00
612_8943,    612.00,   8943.00,      3.00
612_8944,    612.00,   8944.00,      3.00
612_8945,    612.00,   8945.00,      3.00
612_8950,    612.00,   8950.00,      3.00
612_8953,    612.00,   8953.00,      3.00
612_8954,    612.00,   8954.00,      3.00
612_8955,    612.00,   8955.00,      3.00
612_8956,    612.00,   8956.00,      3.00
612_8957,    612.00,   8957.00,      3.00
612_8960,    612.00,   8960.00,      3.00
612_8961,    612.00,   8961.00,      3.00
612_8964,    612.00,   8964.00,      3.00
612_8966,    612.00,   8966.00,      3.00
612_8967,    612.00,   8967.00,      3.00
613_8920,    613.00,   8920.00,      3.00
613_8921,    613.00,   8921.00,      3.00
613_8922,    613.00,   8922.00,      3.00
613_8923,    613.00,   8923.00,      3.00
613_8924,    613.00,   8924.00,      3.00
613_8925,    613.00,   8925.00,      3.00
613_8926,    613.00,   8926.00,      3.00
613_8937,    613.00,   8937.00,      3.00
613_8938,    613.00,   8938.00,      3.00
613_8939,    613.00,   8939.00,      3.00
613_8940,    613.00,   8940.00,      3.00
613_8941,    613.00,   8941.00,      3.00
613_8942,    613.00,   8942.00,      3.00
613_8943,    613.00,   8943.00,      3.00
613_8944,    613.00,   8944.00,      3.00
613_8945,    613.00,   8945.00,      3.00
613_8950,    613.00,   8950.00,      3.00
613_8953,    613.00,   8953.00,      3.00
613_8954,    613.00,   8954.00,      3.00
613_8955,    613.00,   8955.00,      3.00
613_8956,    613.00,   8956.00,      3.00
613_8957,    613.00,   8957.00,      3.00
613_8960,    613.00,   8960.00,      3.00
613_8961,    613.00,   8961.00,      3.00
613_8964,    613.00,   8964.00,      3.00
613_8966,    613.00,   8966.00,      3.00
613_8967,    613.00,   8967.00,      3.00
614_8920,    614.00,   8920.00,      3.00
614_8921,    614.00,   8921.00,      3.00
614_8922,    614.00,   8922.00,      3.00
614_8923,    614.00,   8923.00,      3.00
614_8924,    614.00,   8924.00,      3.00
614_8925,    614.00,   8925.00,      3.00
614_8926,    614.00,   8926.00,      3.00
614_8937,    614.00,   8937.00,      3.00
614_8938,    614.00,   8938.00,      3.00
614_8939,    614.00,   8939.00,      3.00
614_8940,    614.00,   8940.00,      3.00
