External,NumIJPairs
      1.00,   6567.00
      2.00,  17480.00
      3.00, 127868.00
      4.00,  87448.00
      5.00, 103194.00
      6.00,   9940.00
      7.00,    422.00
      8.00,  10826.00
      9.00,  14854.00
     10.00, 254851.00
     11.00,  33484.00
     12.00, 733574.00
     13.00,  24670.00
     14.00,  47468.00
     15.00,   1682.00
     16.00,    372.00
     17.00,    868.00
     18.00,1221272.00
     19.00,  14956.00
     20.00, 163978.00
     21.00,  15140.00
     22.00,  20196.00
     23.00, 207174.00
     24.00, 186446.00
     25.00,     29.00
     26.00,    364.00
     27.00, 102700.00
     28.00,         0
     29.00,         0
     30.00,         0
