External,NumIJPairs
1,240
2,2265
3,110288
4,0
5,0
6,158027
7,342
8,9478
9,15919
10,228249
11,0
12,735094
13,8661
14,47171
15,1814
16,140
17,995
18,1191828
19,13914
20,156172
21,15151
22,19926
23,190695
24,185772
25,10
26,227
27,59359
28,0
29,0
30,0
